first_name,last_name,birth_date,weight
Lucian,Sharp,2014/10/30,79
Dylan,Cotton,2014/10/29,51
Byron,Greer,2014/06/26,93
Ainsley,Carr,2013/09/29,93
Eugenia,Blackwell,2015/05/21,52
Colt,Holman,2014/06/09,89
Merritt,Savage,2015/05/11,55
Jameson,Sargent,2015/05/07,72
Zeus,Kramer,2014/08/18,72
Amal,Cooley,2013/12/25,93
Conan,Potts,2014/05/07,82
Zachery,Navarro,2015/05/27,87
Troy,Medina,2013/06/12,67
Hayes,Justice,2015/04/29,52
Hadley,Ferguson,2014/10/22,56
Amena,Maynard,2013/06/10,96
Maris,Martin,2015/04/10,56
Desirae,Ochoa,2014/06/24,85
Mannix,Schultz,2015/02/11,89
Maya,Barron,2013/07/13,83
Lawrence,Norman,2013/11/12,64
Iona,Small,2013/06/17,89
Christen,Molina,2015/04/06,76
Catherine,Aguirre,2014/02/18,94
Leandra,Diaz,2014/01/19,90
Lesley,Vincent,2014/05/26,58
Xenos,Stafford,2015/01/04,74
Amelia,Bauer,2013/07/21,60
Hayden,Wiggins,2013/07/15,91
Reese,Schultz,2013/09/12,74
Hunter,Mathews,2013/10/19,64
Jack,Fisher,2014/04/12,81
Hakeem,Wiley,2015/01/11,54
Nayda,Boyle,2014/11/15,91
Neil,Blankenship,2013/08/03,78
Edan,Kemp,2014/01/08,76
Bo,Wiley,2013/07/12,53
Eleanor,Roth,2014/12/12,87
Yuli,Hebert,2015/06/06,96
Bo,Weiss,2013/08/24,60
Imelda,Skinner,2014/09/30,97
Shafira,Clay,2013/09/28,71
Hadley,Ramirez,2014/10/13,86
Orlando,Mcdonald,2015/03/06,61
Dillon,Carey,2014/04/02,72
Zia,Beck,2014/10/12,98
Dalton,Phelps,2014/12/07,63
Tyrone,Crawford,2015/03/07,73
Sylvester,Black,2013/06/20,86
Summer,Ward,2014/06/07,90
Ivor,Duke,2013/10/29,54
Anika,Pennington,2015/01/02,89
Rylee,Martin,2013/07/29,75
Rudyard,Elliott,2015/04/02,88
Candace,Conley,2014/11/01,75
Deborah,Mccray,2013/07/06,86
Thaddeus,Glenn,2015/04/25,89
Isadora,Bryant,2014/06/04,57
Beverly,Oliver,2014/12/27,90
Britanney,Ellison,2014/02/18,61
Lars,Garrison,2015/05/23,98
Elijah,Munoz,2013/08/05,90
Ezra,Henderson,2014/03/28,80
Edan,Vasquez,2015/02/11,51
Wylie,Young,2014/08/07,54
Odette,Monroe,2014/03/10,97
Samantha,Nichols,2013/06/22,62
Howard,Mejia,2015/04/26,53
Shaine,Alston,2013/07/27,54
Summer,Valentine,2013/09/08,85
Quintessa,Perez,2014/11/03,53
Kato,Franklin,2013/08/25,77
Daquan,Jackson,2014/03/05,88
Keelie,Schultz,2015/05/14,86
Tanisha,Manning,2015/05/04,51
Davis,Bean,2014/02/23,85
Abra,Griffith,2014/08/05,96
Brittany,Horn,2014/06/21,81
Rose,Vazquez,2014/05/03,100
Nigel,Alexander,2014/12/17,93
Myra,Wooten,2015/04/23,85
Phyllis,Hernandez,2014/08/04,96
Latifah,May,2015/03/02,91
Barry,Emerson,2014/06/16,96
Uma,Dickerson,2015/04/24,68
Clementine,Bradford,2014/03/27,86
Salvador,Boyer,2014/04/25,89
Tashya,Adkins,2014/08/01,50
Montana,Clemons,2013/10/24,98
Mia,Arnold,2015/05/20,70
Rhiannon,Nguyen,2015/03/28,62
Sopoline,Heath,2014/12/26,81
Adara,Rutledge,2015/03/08,80
Walker,Clark,2015/03/05,98
Hector,Wood,2014/02/16,71
Hayfa,Kelley,2015/01/29,82
Brett,Watson,2013/12/17,78
Gwendolyn,Arnold,2015/04/21,96
Rachel,Rich,2014/11/29,64
Wylie,Moody,2014/08/07,70
